Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,DeliveryDays,On_time_delivery,LateDelivery
2024-12-19,South,Phone,1,544.01,Store A,Retail,0.0,Alice,544.01,Gift Card,SAVE10,0,REG100001,Cust 2144,5.3,2024-12-19,2024-12-28,Sophie,9,False,True
2023-05-10,North,Desk,14,346.18,Store B,Wholesale,0.1,Alice,4361.868,Online,WINTER15,0,REG100002,Cust 5998,20.46,2023-05-10,2023-05-19,Ryan,9,False,True
2024-02-20,Central,Monitor,2,385.09,Store D,Wholesale,0.15,Diana,654.6529999999999,Credit Card,,0,REG100005,Cust 3909,11.92,2024-02-20,2024-03-01,Cameron,10,False,True
2025-03-05,West,Desk,5,323.28,Store D,Retail,0.1,Frank,1454.76,Gift Card,SAVE10,0,REG100009,Cust 3732,41.1,2025-03-05,2025-03-13,Wendy,8,False,True
2024-04-10,North,Desk,15,523.29,Store B,Wholesale,0.15,Eva,6671.947499999999,Debit Card,,0,REG100010,Cust 1462,12.14,2024-04-10,2024-04-17,Ryan,7,False,True
2023-07-21,Central,Phone,1,120.53,Store B,Retail,0.05,Diana,114.5035,Cash,WINTER15,0,REG100012,Cust 2372,20.35,2023-07-21,2023-07-31,Cameron,10,False,True
2024-12-08,North,Desk,15,220.3,Store B,Retail,0.15,Diana,2808.825,Debit Card,,0,REG100014,Cust 4548,39.66,2024-12-08,2024-12-15,Ryan,7,False,True
2023-11-30,East,Phone,20,519.04,Store B,Retail,0.15,Carlos,8823.679999999998,Gift Card,FREESHIP,0,REG100018,Cust 1228,19.43,2023-11-30,2023-12-08,Eric,8,False,True
2023-06-22,West,Desk,14,30.83,Store B,Retail,0.0,Carlos,431.62,Online,WINTER15,1,REG100019,Cust 4247,7.1,2023-06-22,2023-07-02,Wendy,10,False,True
2023-08-06,Central,Laptop,12,472.72,Store D,Retail,0.15,Diana,4821.744000000001,Credit Card,,0,REG100023,Cust 4638,27.97,2023-08-06,2023-08-14,Cameron,8,False,True
2024-05-23,North,Desk,5,288.01,Store A,Wholesale,0.0,Eva,1440.05,Credit Card,FREESHIP,0,REG100024,Cust 8538,46.69,2024-05-23,2024-05-30,Ryan,7,False,True
2025-06-16,West,Phone,1,101.73,Store D,Retail,0.0,Frank,101.73,Debit Card,WINTER15,0,REG100026,Cust 2609,11.59,2025-06-16,2025-06-25,Wendy,9,False,True
2023-05-09,Central,Tablet,1,472.07,Store A,Wholesale,0.1,Carlos,424.863,Online,FREESHIP,0,REG100029,Cust 7072,33.17,2023-05-09,2023-05-17,Cameron,8,False,True
2024-12-07,North,Tablet,12,306.29,Store D,Retail,0.0,Frank,3675.48,Debit Card,SAVE10,0,REG100030,Cust 7201,37.38,2024-12-07,2024-12-14,Ryan,7,False,True
2023-09-03,North,Tablet,14,82.14,Store C,Retail,0.0,Alice,1149.96,Credit Card,,0,REG100035,Cust 7902,12.57,2023-09-03,2023-09-11,Ryan,8,False,True
2025-03-21,Central,Chair,9,343.21,Store A,Retail,0.05,Carlos,2934.4455,Debit Card,FREESHIP,0,REG100036,Cust 9968,40.29,2025-03-21,2025-03-28,Cameron,7,False,True
2025-06-20,South,Chair,7,301.01,Store B,Retail,0.15,Diana,1791.0095,Cash,SAVE10,1,REG100037,Cust 3787,34.97,2025-06-20,2025-06-30,Sophie,10,False,True
2024-02-15,Central,Printer,14,428.13,Store C,Retail,0.1,Bob,5394.438,Cash,,1,REG100038,Cust 2469,24.77,2024-02-15,2024-02-25,Cameron,10,False,True
2023-06-09,Central,Laptop,2,503.28,Store D,Retail,0.15,Alice,855.5759999999999,Gift Card,,0,REG100039,Cust 6468,34.79,2023-06-09,2023-06-17,Cameron,8,False,True
2024-06-16,Central,Printer,20,65.17,Store C,Wholesale,0.05,Eva,1238.23,Gift Card,FREESHIP,0,REG100041,Cust 1482,21.72,2024-06-16,2024-06-25,Cameron,9,False,True
2023-05-20,Central,Printer,4,459.31,Store D,Wholesale,0.15,Carlos,1561.654,Gift Card,WINTER15,1,REG100043,Cust 9605,27.39,2023-05-20,2023-05-27,Cameron,7,False,True
2024-06-04,South,Tablet,16,302.58,Store D,Retail,0.0,Alice,4841.28,Online,WINTER15,1,REG100045,Cust 5533,20.76,2024-06-04,2024-06-14,Sophie,10,False,True
2024-09-06,West,Monitor,14,242.82,Store D,Wholesale,0.15,Alice,2889.558,Cash,WINTER15,1,REG100049,Cust 4005,20.71,2024-09-06,2024-09-13,Wendy,7,False,True
2025-01-17,West,Chair,2,251.69,Store C,Wholesale,0.0,Alice,503.38,Debit Card,FREESHIP,0,REG100051,Cust 7167,42.49,2025-01-17,2025-01-24,Wendy,7,False,True
2024-01-05,South,Monitor,2,371.3,Store B,Wholesale,0.05,Bob,705.47,Credit Card,SAVE10,0,REG100053,Cust 4944,36.51,2024-01-05,2024-01-15,Sophie,10,False,True
2025-06-11,Central,Tablet,11,232.75,Store D,Wholesale,0.05,Eva,2432.2375,Credit Card,SAVE10,0,REG100055,Cust 3638,36.33,2025-06-11,2025-06-21,Cameron,10,False,True
2025-03-06,East,Phone,17,146.28,Store B,Retail,0.15,Carlos,2113.746,Cash,SAVE10,0,REG100056,Cust 9973,7.84,2025-03-06,2025-03-15,Eric,9,False,True
2023-01-27,South,Phone,11,375.48,Store B,Retail,0.05,Bob,3923.766000000001,Debit Card,WINTER15,0,REG100058,Cust 2647,15.95,2023-01-27,2023-02-03,Sophie,7,False,True
2023-06-12,Central,Phone,8,301.68,Store D,Retail,0.0,Eva,2413.44,Cash,SAVE10,0,REG100061,Cust 3903,36.54,2023-06-12,2023-06-21,Cameron,9,False,True
2023-07-31,West,Tablet,5,490.52,Store D,Wholesale,0.05,Frank,2329.97,Online,,0,REG100066,Cust 7186,12.24,2023-07-31,2023-08-07,Wendy,7,False,True
2024-12-24,South,Chair,8,405.96,Store A,Wholesale,0.05,Carlos,3085.296,Credit Card,WINTER15,0,REG100067,Cust 8287,41.27,2024-12-24,2024-12-31,Sophie,7,False,True
