Product,Discount,Quantity,TotalPrice
Chair,0.0,709,229480.03
Chair,0.05,376,98214.0495
Chair,0.1,510,159415.029
Chair,0.15,527,135480.3695
Desk,0.0,449,124281.06999999999
Desk,0.05,470,149209.6885
Desk,0.1,654,165233.511
Desk,0.15,453,116542.395
Laptop,0.0,575,182750.98
Laptop,0.05,662,206120.22699999998
Laptop,0.1,551,157373.46
Laptop,0.15,620,138172.5745
Monitor,0.0,512,178937.78
Monitor,0.05,564,159936.357
Monitor,0.1,597,177781.401
Monitor,0.15,504,134973.8545
Phone,0.0,517,133969.01
Phone,0.05,514,146378.9735
Phone,0.1,465,99688.293
Phone,0.15,474,117126.5745
Printer,0.0,581,178513.44
Printer,0.05,552,155817.822
Printer,0.1,540,166114.53
Printer,0.15,663,183941.6235
Tablet,0.0,694,189741.86
Tablet,0.05,762,212223.6445
Tablet,0.1,609,152700.12
Tablet,0.15,512,129873.761
