CustomerName,OrderCount
Cust 1116,2
Cust 1135,2
Cust 1186,2
Cust 1222,2
Cust 1385,2
Cust 1462,2
Cust 1656,2
Cust 1722,2
Cust 1736,2
Cust 1762,2
Cust 1904,2
Cust 1935,2
Cust 1947,3
Cust 1983,2
Cust 2137,2
Cust 2153,2
Cust 2227,2
Cust 2365,2
Cust 2372,2
Cust 2414,2
Cust 2453,2
Cust 2546,2
Cust 2553,2
Cust 2641,2
Cust 2685,2
Cust 2800,2
Cust 3001,2
Cust 3045,2
Cust 3106,2
Cust 3150,2
Cust 3247,2
Cust 3259,2
Cust 3291,2
Cust 3559,2
Cust 3809,2
Cust 3829,2
Cust 3845,2
Cust 3892,2
Cust 3944,2
Cust 3960,2
Cust 4002,2
Cust 4009,2
Cust 4015,2
Cust 4018,2
Cust 4101,2
Cust 4186,2
Cust 4189,2
Cust 4196,2
Cust 4205,2
Cust 4214,2
Cust 4240,2
Cust 4250,2
Cust 4270,3
Cust 4297,2
Cust 4456,2
Cust 4522,2
Cust 4715,2
Cust 4732,2
Cust 4826,2
Cust 4944,2
Cust 4990,2
Cust 5049,2
Cust 5096,2
Cust 5234,2
Cust 5301,2
Cust 5312,2
Cust 5322,2
Cust 5351,2
Cust 5409,2
Cust 5530,2
Cust 5638,2
Cust 5750,2
Cust 5857,2
Cust 5895,2
Cust 6086,2
Cust 6138,2
Cust 6229,2
Cust 6330,2
Cust 6361,2
Cust 6362,2
Cust 6453,2
Cust 6468,2
Cust 6499,2
Cust 6506,2
Cust 6665,2
Cust 6716,2
Cust 6785,2
Cust 6855,3
Cust 6895,2
Cust 6914,2
Cust 7035,2
Cust 7054,2
Cust 7195,2
Cust 7367,2
Cust 7449,2
Cust 7753,2
Cust 7773,2
Cust 7872,2
Cust 7942,2
Cust 8088,2
Cust 8150,4
Cust 8280,2
Cust 8305,2
Cust 8367,2
Cust 8492,2
Cust 8706,2
Cust 8796,2
Cust 8828,2
Cust 8850,2
Cust 9069,2
Cust 9072,2
Cust 9085,2
Cust 9092,2
Cust 9097,2
Cust 9159,2
Cust 9345,2
Cust 9397,2
Cust 9402,2
Cust 9506,2
Cust 9584,2
Cust 9618,2
Cust 9697,2
Cust 9878,2
Cust 9982,2
